player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,nationality,tm_position,tm_photo,fl_pos,fl_pos2,fl_group,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,xg_p90,npxg_p90,xa_p90,kp_p90,shots_p90,xg_chain_p90,goals,assists,gk_save_pct,gk_cs_pct,team_goals_against,team_ga_per_game,team_defense_score,team_goals_for,team_gf_per_game,team_attack_score,ss_rating,pass_pct,long_ball_pct,cross_acc_pct,dribble_success_pct,tackles_won_pct,aerial_won_pct,ground_duels_won_pct,total_duels_won_pct,key_passes_per90,big_chances_created_per90,clearances_per90,blocked_shots_per90,outfielder_blocks_per90,interceptions_per90_ss,recoveries_per90,aerial_won_per90,tackles_won_per90_ss,ground_duels_won_per90,errors_per90,possession_won_att_per90,successful_dribbles_per90,final_third_passes_per90,gk_saves_per90,gk_clean_sheets,gk_high_claims_per90,gk_runs_out_per90,gk_punches_per90,gk_crosses_not_claimed,ss_appearances,ss_minutes
Kevin Schade,Brentford,"MF,FW",23,2745,0.26,0.1,1.87,0.79,0.754,0.623,0.885,1.639,1.41,0.328,35000000.0,Germany,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/473050-1700560328.jpg?lm=1,WF,ST,W,kevin schade,2028-06-30,473050.0,2026-07-09T08:39:36,2023-07-01,,0.383,0.358,0.148,0.939,1.845,0.562,8,3,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.76,67.74,38.89,22.73,26.67,58.54,50.29,39.92,44.08,0.9466811751904244,0.2285092491838955,1.0119695321001088,0.3917301414581066,0.0979325353645266,0.5875952121871599,3.068552774755169,2.8400435255712733,0.7834602829162133,3.3623503808487487,0.0,0.3264417845484222,0.6528835690968444,4.733405875952122,0.0,5.0,0.0,0.0,0.0,0.0,35.0,2757.0
Kristoffer Ajer,Brentford,DF,27,1810,0.0,0.05,0.5,0.15,0.348,0.746,1.144,1.144,0.249,0.0,18000000.0,Norway,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/328658-1700649482.jpg?lm=1,CB,RB,CB,kristoffer ajer,2030-06-30,328658.0,2026-07-09T08:39:36,2021-07-21,,0.052,0.052,0.045,0.249,0.498,0.273,0,1,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.62,80.03,28.24,14.29,27.27,59.46,57.14,50.56,54.12,0.1978021978021978,0.0494505494505494,5.884615384615385,0.0989010989010989,0.7912087912087913,0.8901098901098902,2.917582417582418,2.967032967032967,1.087912087912088,2.2252747252747254,0.0494505494505494,0.0989010989010989,0.1483516483516483,2.818681318681319,0.0,4.0,0.0,0.0,0.0,0.0,27.0,1820.0
Mathias Jensen,Brentford,MF,29,2247,0.12,0.04,1.16,0.32,4.96,0.84,0.92,0.8,0.6,0.08,10000000.0,Denmark,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/319859-1684771732.jpg?lm=1,BX,,CM,mathias jensen,2027-06-30,319859.0,2026-07-09T08:39:36,2019-07-10,,0.063,0.063,0.213,1.315,1.156,0.414,3,1,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.96,80.84,54.75,30.16,54.29,56.1,27.59,44.12,41.71,1.383399209486166,0.4347826086956521,1.4624505928853757,0.3952569169960474,0.1581027667984189,0.8300395256916996,4.624505928853755,0.3162055335968379,0.9090909090909092,2.9644268774703555,0.0790513833992094,0.3952569169960474,0.7509881422924901,12.134387351778656,0.0,4.0,0.0,0.0,0.0,0.0,36.0,2277.0
Michael Kayode,Brentford,DF,21,3258,0.03,0.03,0.25,0.08,1.547,1.077,1.298,0.718,1.381,0.028,40000000.0,Italy,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/823486-1725531169.jpg?lm=1,RB,RM,RB,michael kayode,2032-06-30,823486.0,2026-07-09T08:39:36,2025-07-01,,0.032,0.032,0.087,0.905,0.247,0.358,1,1,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.86,85.01,44.71,25.0,51.4,67.16,60.29,57.14,57.72,0.9926470588235294,0.1102941176470588,2.729779411764706,0.1102941176470588,0.4136029411764706,1.0477941176470589,4.494485294117647,1.130514705882353,1.2408088235294117,4.74264705882353,0.1102941176470588,0.1378676470588235,1.5165441176470589,5.128676470588236,0.0,8.0,0.0,0.0,0.0,0.0,37.0,3264.0
Mikkel Damsgaard,Brentford,MF,25,2054,0.18,0.18,1.27,0.48,4.167,1.053,1.491,0.789,1.009,0.175,30000000.0,Denmark,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/540941-1668183899.jpg?lm=1,AM,,AM,mikkel damsgaard,2030-06-30,540941.0,2026-07-09T08:39:36,2022-08-10,,0.128,0.128,0.279,1.813,1.295,0.533,4,4,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,7.02,76.34,40.22,28.87,35.29,61.4,41.3,43.11,42.8,1.8190567853705488,0.519730510105871,0.6929740134744947,0.2165543792107796,0.1732435033686236,1.082771896053898,6.020211742059673,0.8229066410009624,1.5158806544754573,4.201154956689124,0.0866217516843118,1.126082771896054,0.7795957651588066,13.38306063522618,0.0,3.0,0.0,0.0,0.0,0.0,33.0,2078.0
Myles Peart-Harris,Brentford,MF,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,Jamaica,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/587002-1720268527.jpg?lm=1,AM,,AM,myles peart-harris,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Nathan Collins,Brentford,DF,24,2975,0.03,0.06,0.61,0.18,0.03,1.088,0.393,0.604,0.514,0.06,30000000.0,Ireland,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/469050-1688381729.jpg?lm=1,CB,,CB,nathan collins,2029-06-30,469050.0,2026-07-09T08:39:36,2023-07-04,,0.089,0.089,0.074,0.273,0.607,0.305,1,2,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.75,83.11,35.63,100.0,70.0,45.16,54.94,57.29,55.81,0.3331090174966352,0.1514131897711978,6.32907133243607,0.1211305518169582,1.2415881561238222,1.120457604306864,4.2092866756393,2.6951547779273213,0.4239569313593539,1.665545087483176,0.1211305518169582,0.0302826379542395,0.2119784656796769,3.8156123822341854,0.0,9.0,0.0,0.0,0.0,0.0,35.0,2972.0
Reiss Nelson,Brentford,"FW,MF",25,126,0.0,0.71,3.57,0.71,1.429,0.0,2.143,0.0,1.429,0.0,8000000.0,England,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/340325-1667418642.jpg?lm=1,WF,,W,reiss nelson,2026-06-30,340325.0,2026-06-19T14:17:37,2025-09-01,,0.779,0.779,0.051,1.731,4.327,1.375,0,1,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.58,91.89,66.67,0.0,41.67,75.0,0.0,45.83,45.83,1.1842105263157894,0.0,1.1842105263157894,0.0,0.5921052631578947,0.0,9.473684210526317,0.0,1.7763157894736843,6.5131578947368425,0.0,1.1842105263157894,2.960526315789474,17.763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,10.0,152.0
Rico Henry,Brentford,DF,28,1328,0.0,0.07,0.34,0.0,1.757,0.473,0.743,1.014,1.149,0.135,13000000.0,Jamaica,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/339556-1684771012.jpg?lm=1,LB,LM,LB,rico henry,2027-06-30,339556.0,2026-07-09T08:39:36,2016-08-31,,0.01,0.01,0.022,0.274,0.342,0.166,0,1,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.43,76.92,38.98,12.0,50.0,73.33,47.5,50.0,49.25,0.2698650674662669,0.0674662668665667,2.766116941529236,0.0674662668665667,0.3373313343328336,0.5397301349325337,4.857571214392803,1.2818590704647677,0.7421289355322338,3.170914542728636,0.2698650674662669,0.2023988005997001,1.0119940029985006,5.059970014992503,0.0,3.0,0.0,0.0,0.0,0.0,25.0,1334.0
Romelle Donovan,Brentford,FW,18,41,0.0,0.0,6.59,2.2,4.0,0.0,0.0,4.0,6.0,0.0,3500000.0,England,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/1091562-1754902556.jpg?lm=1,WF,ST,W,romelle donovan,2030-06-30,1091562.0,2026-07-08T07:35:53,2025-07-01,,0.41,0.41,0.125,3.913,11.739,0.41,0,0,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.6,56.25,50.0,0.0,83.33,0.0,0.0,57.14,53.33,2.3684210526315788,0.0,0.0,4.7368421052631575,0.0,0.0,11.842105263157896,0.0,0.0,18.94736842105263,0.0,2.3684210526315788,11.842105263157896,16.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0
Sepp van den Berg,Brentford,DF,23,2763,0.0,0.07,0.75,0.23,0.0,0.847,0.293,0.489,0.358,0.0,32000000.0,Netherlands,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/541231-1692000386.jpg?lm=1,CB,RB,CB,sepp van den berg,2029-06-30,541231.0,2026-07-09T08:39:36,2024-08-22,,0.109,0.109,0.072,0.228,0.751,0.285,0,2,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.86,88.54,51.46,0.0,100.0,43.48,66.35,58.33,64.58,0.2281781963056863,0.1629844259326331,6.356392611372692,0.0977906555595798,0.7497283592901123,0.945309670409272,3.5530604853314016,4.563563926113727,0.3259688518652662,1.1408909815284318,0.1303875407461064,0.0325968851865266,0.0325968851865266,3.227091633466136,0.0,8.0,0.0,0.0,0.0,0.0,32.0,2761.0
Vitaly Janelt,Brentford,MF,27,1444,0.06,0.25,0.75,0.19,3.812,1.688,1.062,1.25,0.812,0.0,16000000.0,Germany,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/270171-1649932358.jpg?lm=1,DM,,DM,vitaly janelt,2030-06-30,270171.0,2026-07-09T08:39:36,2020-10-03,,0.047,0.047,0.241,1.33,0.76,0.401,1,4,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.96,87.3,50.59,31.15,45.45,59.26,60.53,45.74,50.0,1.3043478260869563,0.4347826086956521,2.111801242236025,0.186335403726708,0.4968944099378881,1.8633540372670805,5.279503105590062,1.4285714285714284,0.9937888198757764,2.670807453416149,0.062111801242236,0.3726708074534161,0.3105590062111801,10.248447204968944,0.0,4.0,0.0,0.0,0.0,0.0,25.0,1449.0
Yehor Yarmoliuk,Brentford,MF,21,2659,0.03,0.07,0.54,0.14,1.017,0.949,1.559,1.254,0.407,0.034,32000000.0,Ukraine,CM,https://img.a.transfermarkt.technology/portrait/medium/717411.png,BX,,CM,yehor yarmoliuk,,,,,,0.0,0.03,0.07,0.21,0.54,0.0,1,2,,,52,1.368421052631579,0.4791666666666666,55,1.4473684210526316,0.56,6.75,84.34,47.52,26.67,35.71,64.29,55.17,43.3,45.74,0.5046728971962617,0.0336448598130841,1.3794392523364487,0.1345794392523364,0.4710280373831775,0.9420560747663552,6.291588785046729,1.0766355140186916,1.514018691588785,3.263551401869159,0.0336448598130841,0.4710280373831775,0.5046728971962617,7.502803738317757,0.0,6.0,0.0,0.0,0.0,0.0,37.0,2675.0
Bart Verbruggen,Brighton,GK,22,3420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,Netherlands,Goalkeeper,https://img.a.transfermarkt.technology/portrait/medium/565093-1716990260.jpg?lm=1,GK,,GK,bart verbruggen,2028-06-30,565093.0,2026-07-09T08:39:47,2023-07-03,,0.0,0.0,0.002,0.026,0.0,0.194,0,0,71.7,26.3,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,7.04,76.05,34.99,0.0,100.0,100.0,91.67,55.56,76.19,0.0263157894736842,0.0,0.8421052631578947,0.0,0.0,0.0,8.710526315789474,0.2894736842105263,0.0263157894736842,0.131578947368421,0.1578947368421052,0.0,0.0263157894736842,1.3157894736842106,2.789473684210526,10.0,0.631578947368421,0.5789473684210527,0.3947368421052631,0.0,38.0,3420.0
Brajan Gruda,Brighton,MF,21,719,0.13,0.13,2.0,0.75,1.75,0.25,0.625,1.375,1.75,0.25,28000000.0,Germany,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/700106-1770733562.jpg?lm=1,RW,AM,RW,brajan gruda,2028-06-30,700106.0,2026-07-09T08:39:47,2024-08-14,,0.223,0.223,0.153,2.011,2.011,0.689,1,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.63,78.23,53.85,21.43,37.74,35.71,72.73,42.11,44.8,1.945945945945946,0.1216216216216216,0.2432432432432432,0.4864864864864865,0.0,0.2432432432432432,4.864864864864865,0.972972972972973,0.6081081081081081,5.837837837837839,0.1216216216216216,0.3648648648648649,2.4324324324324325,10.945945945945947,0.0,0.0,0.0,0.0,0.0,0.0,18.0,740.0
Carlos Baleba,Brighton,MF,21,1652,0.0,0.0,1.09,0.11,0.0,1.522,1.141,1.685,1.304,0.0,55000000.0,Cameroon,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/973085-1666690662.jpg?lm=1,DM,,DM,carlos baleba,2028-06-30,973085.0,2026-07-09T08:39:47,2023-08-29,,0.03,0.03,0.043,0.479,1.064,0.311,0,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.64,86.1,56.67,0.0,48.0,54.05,58.0,47.4,50.0,0.4830053667262969,0.0536672629695885,1.7173524150268338,0.4293381037567084,0.3220035778175313,1.556350626118068,5.635062611806798,1.556350626118068,1.073345259391771,3.917710196779964,0.2683363148479427,0.6440071556350626,0.6440071556350626,5.635062611806798,0.0,2.0,0.0,0.0,0.0,0.0,31.0,1677.0
Charalampos Kostoulas,Brighton,FW,18,369,0.49,0.24,5.12,1.95,1.463,0.244,1.463,1.707,1.707,0.976,25000000.0,Greece,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/1060087-1750779518.jpg?lm=1,ST,AM,ST,charalampos kostoulas,2030-06-30,1060087.0,2026-07-09T08:39:47,2025-07-01,,0.657,0.657,0.373,2.913,6.117,1.018,2,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.7,74.8,25.0,0.0,40.74,63.64,50.0,44.62,46.79,2.3316062176165806,0.6994818652849741,0.932642487046632,1.1658031088082903,0.0,0.233160621761658,5.829015544041451,5.129533678756477,1.6321243523316062,6.761658031088083,0.0,1.6321243523316062,2.5647668393782386,10.492227979274611,0.0,0.0,0.0,0.0,0.0,0.0,21.0,386.0
Danny Welbeck,Brighton,FW,34,2258,0.48,0.04,2.23,1.12,0.12,0.319,0.558,1.235,0.398,0.199,3000000.0,England,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/67063-1746437656.jpg?lm=1,ST,LW,ST,danny welbeck,2027-06-30,67063.0,2026-07-09T08:39:47,2020-10-18,,0.501,0.411,0.089,0.787,2.205,0.59,13,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.68,79.42,55.56,0.0,40.74,58.33,33.93,36.89,35.96,0.7936507936507937,0.1587301587301587,1.1904761904761905,0.3968253968253968,0.0,0.3571428571428571,2.023809523809524,0.753968253968254,0.5555555555555556,1.7857142857142858,0.0793650793650793,0.5555555555555556,0.4365079365079365,5.634920634920635,0.0,1.0,0.0,0.0,0.0,0.0,37.0,2268.0
Diego Coppola,Brighton,DF,21,194,0.0,0.0,0.0,0.0,0.0,0.455,0.909,1.818,0.0,0.0,18000000.0,Italy,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/660860-1663671800.jpg?lm=1,CB,,CB,diego coppola,2030-06-30,660860.0,2026-07-09T08:39:47,2025-07-01,,0.0,0.0,0.0,0.0,0.0,0.228,0,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.7,88.6,25.0,0.0,100.0,100.0,55.56,33.33,48.15,0.0,0.0,5.820895522388059,0.0,0.8955223880597015,0.4477611940298507,2.686567164179104,4.477611940298507,0.8955223880597015,1.343283582089552,0.0,0.0,0.4477611940298507,4.477611940298507,0.0,1.0,0.0,0.0,0.0,0.0,5.0,201.0
Diego Gómez,Brighton,"MF,FW",22,2120,0.21,0.04,1.78,0.59,0.975,0.805,2.076,2.076,0.466,0.042,25000000.0,Paraguay,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/996897-1710077684.jpg?lm=1,,,,diego gomez,2030-06-30,996897.0,2026-07-09T08:39:47,2025-01-01,,0.264,0.264,0.086,0.823,1.729,0.593,5,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.74,77.95,41.46,28.57,46.34,64.1,59.78,45.92,49.85,0.8848314606741573,0.1685393258426966,1.1797752808988764,0.4634831460674157,0.1264044943820224,0.7584269662921348,4.719101123595506,2.3174157303370784,2.106741573033708,4.508426966292134,0.0842696629213483,0.8426966292134831,0.800561797752809,6.9943820224719095,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2136.0
Ferdi Kadioglu,Brighton,"DF,MF",25,3133,0.03,0.0,0.8,0.37,3.132,0.718,1.121,0.632,1.034,0.201,35000000.0,Türkiye,Left-Back,https://img.a.transfermarkt.technology/portrait/medium/369316-1724792538.jpg?lm=1,,,,ferdi kadioglu,2028-06-30,369316.0,2026-07-09T08:39:47,2024-08-24,,0.058,0.058,0.064,0.63,0.801,0.401,1,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.81,85.59,47.31,21.3,54.55,68.42,50.0,55.32,53.97,0.6317804722399489,0.0574345883854499,2.3261008296107213,0.1723037651563497,0.2010210593490746,0.7466496490108487,3.733248245054244,0.9189534141671984,1.119974473516273,2.986598596043395,0.0,0.3446075303126994,0.3446075303126994,11.48691767708998,0.0,10.0,0.0,0.0,0.0,0.0,37.0,3134.0
Georginio Rutter,Brighton,"MF,FW",23,1786,0.15,0.15,2.12,0.71,1.01,0.556,0.96,1.515,1.717,0.556,30000000.0,France,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/538977-1727785742.jpg?lm=1,ST,AM,AM,georginio rutter,2028-06-30,538977.0,2026-07-09T08:39:47,2024-08-19,,0.148,0.148,0.232,1.261,2.119,0.548,3,3,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.65,69.5,57.14,14.29,43.08,62.5,38.0,40.34,39.93,1.247228381374723,0.3991130820399113,1.2971175166297118,0.6984478935698448,0.0498891352549889,0.5487804878048781,2.993348115299334,0.9478935698447892,0.9977827050997784,4.689578713968958,0.0,0.9478935698447892,1.3968957871396896,7.583148558758315,0.0,2.0,0.0,0.0,0.0,0.0,32.0,1804.0
Harry Howell,Brighton,MF,17,94,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,8000000.0,England,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/1067168-1746643941.jpg?lm=1,AM,,AM,harry howell,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.43,85.29,50.0,0.0,66.67,0.0,33.33,37.5,35.71,0.0,0.0,2.9032258064516125,0.0,0.0,0.0,2.9032258064516125,1.935483870967741,0.0,2.9032258064516125,0.0,0.0,1.935483870967741,6.774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,3.0,93.0
Jack Hinshelwood,Brighton,MF,20,1741,0.21,0.16,1.91,0.78,0.363,0.311,0.674,1.658,0.622,0.104,28000000.0,England,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/867688-1698353957.jpg?lm=1,BX,RB,CM,jack hinshelwood,2029-06-30,867688.0,2026-07-09T08:39:47,2023-07-01,,0.242,0.242,0.12,0.812,1.878,0.59,4,3,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.66,82.59,37.5,0.0,33.33,73.68,34.29,36.56,35.94,0.7714285714285715,0.1028571428571428,1.2857142857142858,0.4114285714285715,0.2571428571428572,0.2571428571428572,3.137142857142857,0.6171428571428572,0.7200000000000001,1.7485714285714289,0.1028571428571428,0.4628571428571429,0.1542857142857143,7.714285714285715,0.0,1.0,0.0,0.0,0.0,0.0,27.0,1750.0
James Milner,Brighton,MF,39,784,0.0,0.11,0.92,0.23,1.609,0.575,1.034,1.724,0.345,0.115,500000.0,England,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/3333-1662621121.jpg?lm=1,,,,james milner,2026-06-30,3333.0,2026-06-19T14:17:40,2023-07-01,,0.114,0.025,0.076,0.931,0.931,0.463,1,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.69,86.86,42.55,42.86,50.0,60.0,37.5,41.3,40.32,0.8977556109725685,0.112219451371571,2.1321695760598502,0.2244389027431421,0.112219451371571,0.6733167082294265,4.488778054862843,0.6733167082294265,1.0099750623441397,2.1321695760598502,0.112219451371571,0.2244389027431421,0.112219451371571,11.55860349127182,0.0,2.0,0.0,0.0,0.0,0.0,20.0,802.0
Jan Paul van Hecke,Brighton,DF,25,3210,0.08,0.08,0.64,0.28,0.644,1.261,0.868,0.756,1.204,0.112,45000000.0,Netherlands,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/576314-1742501220.jpg?lm=1,CB,,CB,jan paul van hecke,2027-06-30,576314.0,2026-06-19T14:17:40,2020-09-10,,0.094,0.094,0.029,0.336,0.644,0.395,3,3,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,7.24,87.19,47.16,43.48,60.0,56.6,58.76,64.19,61.11,0.3643724696356275,0.0560573030208657,5.297415135471816,0.1962005605730302,0.7848022422921208,1.3173466209903455,3.1672376206789163,3.195266272189349,0.8408595453129867,2.662721893491124,0.1121146060417315,0.0840859545312986,0.0840859545312986,9.333540952974152,0.0,9.0,0.0,0.0,0.0,0.0,36.0,3211.0
Joe Knight,Brighton,MF,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,England,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/978668-1746643885.jpg?lm=1,BX,,CM,joe knight,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Joël Veltman,Brighton,DF,33,1057,0.09,0.0,0.34,0.09,1.538,1.624,1.453,0.855,1.88,0.171,1500000.0,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/111195-1700650522.jpg?lm=1,RB,CB,RB,joel veltman,2026-06-30,111195.0,2026-06-19T14:17:40,2020-07-29,,0.093,0.093,0.022,0.351,0.351,0.216,1,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.82,81.67,31.71,10.53,40.0,54.84,62.5,68.75,66.96,0.3355079217148182,0.0,3.690587138863001,0.1677539608574091,0.5032618825722274,1.5097856477166822,3.3550792171481825,1.6775396085740912,1.4259086672879775,4.613233923578751,0.0,0.3355079217148182,0.1677539608574091,8.136067101584343,0.0,1.0,0.0,0.0,0.0,0.0,24.0,1073.0
Kaoru Mitoma,Brighton,"MF,FW",28,1721,0.16,0.05,1.67,0.68,2.408,0.419,0.628,1.623,1.099,0.209,22000000.0,Japan,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/504849-1731683095.jpg?lm=1,LW,,LW,kaoru mitoma,2027-06-30,504849.0,2026-07-09T08:39:47,2021-08-10,,0.25,0.25,0.185,1.567,1.672,0.59,3,1,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.8,82.4,63.16,17.39,44.44,66.67,41.67,39.64,40.0,1.621150493898896,0.2091807088901801,0.8890180127832655,0.4183614177803602,0.052295177222545,0.4706565950029052,3.242300987797792,0.7844276583381754,0.6275421266705403,3.503776873910517,0.10459035444509,0.5752469494479953,1.464264962231261,11.97559558396281,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1721.0
Lewis Dunk,Brighton,DF,33,2838,0.03,0.0,0.73,0.1,0.159,0.952,0.698,0.444,0.381,0.032,3500000.0,England,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/148153-1716297176.jpg?lm=1,CB,,CB,lewis dunk,2027-06-30,148153.0,2026-07-09T08:39:47,2010-07-01,,0.043,0.043,0.017,0.223,0.731,0.403,1,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.95,92.34,47.67,20.0,100.0,62.86,60.32,56.04,58.53,0.2215189873417721,0.0316455696202531,4.493670886075949,0.1582278481012658,0.8544303797468354,0.9493670886075948,4.30379746835443,2.4050632911392404,0.6962025316455696,1.6139240506329111,0.0949367088607594,0.0632911392405063,0.1265822784810126,6.012658227848101,0.0,7.0,0.0,0.0,0.0,0.0,33.0,2844.0
Mats Wieffer,Brighton,DF,25,1903,0.09,0.14,0.85,0.28,0.806,1.137,2.038,1.422,1.043,0.095,25000000.0,Netherlands,Right-Back,https://img.a.transfermarkt.technology/portrait/medium/415381-1779892289.jpg?lm=1,RB,DM,RB,mats wieffer,2029-06-30,415381.0,2026-07-09T08:39:47,2024-07-05,,0.09,0.09,0.134,0.89,0.843,0.482,2,3,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.73,83.2,54.05,18.75,45.0,63.64,48.89,49.48,49.3,0.9404388714733544,0.1880877742946708,3.3385579937304075,0.2351097178683385,0.329153605015674,1.1755485893416928,4.843260188087775,2.0689655172413794,1.974921630094044,4.514106583072101,0.0470219435736677,0.4702194357366771,0.4231974921630094,8.746081504702195,0.0,5.0,0.0,0.0,0.0,0.0,26.0,1914.0
Matt O'Riley,Brighton,MF,24,204,0.0,0.0,1.76,0.88,2.609,0.0,0.87,0.87,0.435,0.435,18000000.0,Denmark,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/406634-1661800636.jpg?lm=1,BX,,CM,matt o'riley,2029-06-30,406634.0,2026-07-09T08:39:47,2024-08-26,,0.526,0.175,0.069,1.846,1.846,0.245,1,0,,,46,1.2105263157894737,0.6041666666666666,52,1.368421052631579,0.5000000000000001,6.73,87.14,33.33,57.14,0.0,40.0,28.57,46.15,40.0,1.7733990147783252,0.0,0.8866995073891626,0.0,0.4433497536945813,0.0,0.8866995073891626,0.8866995073891626,0.8866995073891626,2.6600985221674875,0.0,0.4433497536945813,0.0,7.980295566502463,0.0,0.0,0.0,0.0,0.0,0.0,6.0,203.0
