player,squad,pos,age,minutes,npg_per90,ast_per90,sh_per90,sot_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90,offsides_per90,market_value_eur,norm_key,tm_contract_until,tm_id,tm_contract_checked_at,tm_joined_date,tm_contract_signal,tm_photo
Rick Meissen,Excelsior,DF,23.0,2511,0.0,0.11,0.47,0.22,0.215,1.756,0.789,0.896,0.538,0.0,,rick meissen,2027-06-30,596178,2026-07-07T15:12:02,2025-08-04,,https://img.a.transfermarkt.technology/portrait/medium/596178-1723809405.jpg?lm=1
Simon Janssen,Excelsior,DF,24.0,510,0.0,0.18,1.06,0.88,3.86,1.053,1.053,0.702,1.053,0.351,,simon janssen,2027-06-30,457092,2026-07-07T15:12:02,2025-09-01,,https://img.a.transfermarkt.technology/portrait/medium/457092-1540557695.jpg?lm=1
Stan Henderikx,Excelsior,DF,22.0,531,0.0,0.0,0.68,0.51,0.339,2.034,1.186,1.186,0.678,0.0,,stan henderikx,2028-06-30,675981,2026-07-07T15:12:02,2025-07-09,,https://img.a.transfermarkt.technology/portrait/medium/675981-1725630490.jpg?lm=1
Stefan Mitrović,Excelsior,"MF,FW",22.0,261,0.0,0.0,2.41,0.69,5.862,0.69,0.345,1.724,2.069,0.0,,stefan mitrovic,,,,,,
Stijn Middendorp,Excelsior,MF,,199,0.0,0.0,0.45,0.0,0.455,2.273,1.364,0.0,0.909,0.0,,stijn middendorp,,,,,,
Stijn van Gassel,Excelsior,GK,28.0,2819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,stijn van gassel,2027-06-30,301696,2026-07-07T15:12:02,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/301696-1753351391.jpg?lm=1
Szymon Włodarczyk,Excelsior,FW,22.0,757,0.36,0.12,2.5,1.19,0.476,0.0,0.476,1.19,0.476,0.238,,szymon wlodarczyk,,,,,,
Tijmen Holla,Excelsior,GK,,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,tijmen holla,2027-06-30,1088035,2026-07-07T15:12:02,2025-07-01,,https://img.a.transfermarkt.technology/portrait/medium/1088035-1753351355.jpg?lm=1
Yoon Doyong,Excelsior,MF,18.0,103,0.87,0.0,4.37,1.75,0.909,1.818,1.818,2.727,2.727,0.0,,yoon doyong,,,,,,
Zach Booth,Excelsior,MF,21.0,106,0.0,0.0,0.85,0.85,0.833,0.0,0.0,3.333,0.0,0.833,,zach booth,,,,,,
Anel Ahmedhodžić,Feyenoord,DF,26.0,2206,0.0,0.04,0.61,0.04,0.041,1.429,0.694,1.224,0.694,0.0,,anel ahmedhodzic,2029-06-30,377468,2026-07-07T15:11:23,2025-08-05,,https://img.a.transfermarkt.technology/portrait/medium/377468-1680273994.jpg?lm=1
Anis Hadj Moussa,Feyenoord,"MF,FW",23.0,2545,0.39,0.21,2.72,1.13,7.668,0.283,0.53,0.53,1.237,0.106,,anis hadj moussa,2030-06-30,917911,2026-07-07T15:11:23,2024-07-01,,https://img.a.transfermarkt.technology/portrait/medium/917911-1734434073.jpg?lm=1
Ayase Ueda,Feyenoord,FW,26.0,2518,0.86,0.04,3.65,1.64,0.214,0.107,0.214,0.857,2.143,0.286,,ayase ueda,2028-06-30,589128,2026-07-07T15:11:23,2023-08-03,,https://img.a.transfermarkt.technology/portrait/medium/589128-1765214070.jpg?lm=1
Aymen Sliti,Feyenoord,MF,19.0,484,0.19,0.0,2.05,0.56,9.074,0.37,0.185,1.111,1.296,0.185,,aymen sliti,2029-06-30,775257,2026-07-07T15:11:23,2025-09-15,,https://img.a.transfermarkt.technology/portrait/medium/775257-1742203188.jpg?lm=1
Ayoub Ouarghi,Feyenoord,MF,17.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,ayoub ouarghi,,,,,,
Bart Nieuwkoop,Feyenoord,DF,29.0,545,0.17,0.0,0.83,0.33,1.639,1.311,2.787,2.131,0.656,0.0,,bart nieuwkoop,2027-06-30,257987,2026-07-07T15:11:23,2023-08-10,,https://img.a.transfermarkt.technology/portrait/medium/257987-1691581269.jpg?lm=1
Casper Tengstedt,Feyenoord,FW,25.0,405,0.44,0.0,4.89,2.0,0.667,0.444,0.222,1.111,1.333,0.222,,casper tengstedt,2029-06-30,464598,2026-07-07T15:11:23,2025-07-24,,https://img.a.transfermarkt.technology/portrait/medium/464598-1753199741.jpg?lm=1
Cyle Larin,Feyenoord,MF,30.0,158,0.0,0.57,5.13,1.71,0.0,0.0,1.667,2.222,1.667,1.111,,cyle larin,,,,,,
