squad,player,tm_player_id,season,games_missed,spells,days_out,injuries,spells_json,last_checked
Arsenal,Kai Havertz,309400,25/26,0,0,0,,[],2026-08-10
Arsenal,Martin Ødegaard,316264,25/26,0,0,0,,[],2026-08-10
Arsenal,Mikel Merino,338424,25/26,0,0,0,,[],2026-08-10
Arsenal,Max Dowman,1187629,25/26,0,0,0,,[],2026-08-10
Arsenal,Bukayo Saka,433177,25/26,0,0,0,,[],2026-08-10
Arsenal,Noni Madueke,503987,25/26,0,0,0,,[],2026-08-10
Arsenal,Piero Hincapié,659813,25/26,0,0,0,,[],2026-08-10
Arsenal,Riccardo Calafiori,502821,25/26,0,0,0,,[],2026-08-10
Arsenal,Ben White,335721,25/26,0,0,0,,[],2026-08-10
Arsenal,Gabriel Magalhães,435338,25/26,0,0,0,,[],2026-08-10
Arsenal,William Saliba,495666,25/26,0,0,0,,[],2026-08-10
Arsenal,Jurriën Timber,420243,25/26,0,0,0,,[],2026-08-10
Arsenal,Cristhian Mosquera,646750,25/26,0,0,0,,[],2026-08-10
Arsenal,Christian Nørgaard,148367,25/26,0,0,0,,[],2026-08-10
Arsenal,Gabriel Martinelli,655488,25/26,0,0,0,,[],2026-08-10
Arsenal,Viktor Gyökeres,325443,25/26,0,0,0,,[],2026-08-10
Arsenal,Eberechi Eze,479999,25/26,0,0,0,,[],2026-08-10
Arsenal,Leandro Trossard,144028,25/26,0,0,0,,[],2026-08-10
Arsenal,Declan Rice,357662,25/26,0,0,0,,[],2026-08-10
Arsenal,Gabriel Jesus,363205,25/26,0,0,0,,[],2026-08-10
Arsenal,Kepa Arrizabalaga,192279,25/26,0,0,0,,[],2026-08-10
Arsenal,David Raya,262749,25/26,0,0,0,,[],2026-08-10
Arsenal,Martín Zubimendi,423440,25/26,0,0,0,,[],2026-08-10
Arsenal,Myles Lewis-Skelly,890721,25/26,0,0,0,,[],2026-08-10
Arsenal,Ethan Nwaneri,890719,25/26,0,0,0,,[],2026-08-10
Aston Villa,Alysson Edward,1005583,25/26,0,0,0,,[],2026-08-10
Aston Villa,Boubacar Kamara,394327,25/26,0,0,0,,[],2026-08-10
Aston Villa,Andrés García,1063329,25/26,0,0,0,,[],2026-08-10
Aston Villa,Leon Bailey,387626,25/26,0,0,0,,[],2026-08-10
Aston Villa,Youri Tielemans,249565,25/26,0,0,0,,[],2026-08-10
Aston Villa,Amadou Onana,485706,25/26,0,0,0,,[],2026-08-10
Aston Villa,Tyrone Mings,253677,25/26,0,0,0,,[],2026-08-10
Aston Villa,Ross Barkley,131978,25/26,0,0,0,,[],2026-08-10
Aston Villa,John McGinn,193116,25/26,0,0,0,,[],2026-08-10
Aston Villa,Evann Guessand,500689,25/26,0,0,0,,[],2026-08-10
Aston Villa,Douglas Luiz,447661,25/26,0,0,0,,[],2026-08-10
Aston Villa,Pau Torres,399776,25/26,0,0,0,,[],2026-08-10
Aston Villa,Emiliano Martínez,111873,25/26,0,0,0,,[],2026-08-10
Aston Villa,Jadon Sancho,401173,25/26,0,0,0,,[],2026-08-10
Aston Villa,Matty Cash,425334,25/26,0,0,0,,[],2026-08-10
Aston Villa,Harvey Elliott,565822,25/26,0,0,0,,[],2026-08-10
Aston Villa,Emi Buendía,321247,25/26,0,0,0,,[],2026-08-10
Aston Villa,Ollie Watkins,324358,25/26,0,0,0,,[],2026-08-10
Aston Villa,Victor Lindelöf,184573,25/26,0,0,0,,[],2026-08-10
Aston Villa,Ezri Konsa,413403,25/26,0,0,0,,[],2026-08-10
Aston Villa,Ian Maatsen,485585,25/26,0,0,0,,[],2026-08-10
Aston Villa,Lamare Bogarde,645686,25/26,0,0,0,,[],2026-08-10
